# 英文翻译列表 (English Translations)
# 格式: id|英文翻译
# 总单词数: 1200个
# 文件生成时间: 2026-01-29

1|hello
2|good morning
3|thank you
4|yes
5|no
6|please / here you go
7|goodbye
8|I
9|you
10|he
11|she
12|we
13|you (plural)
14|they
15|the book
16|the table
17|the chair
18|the house
19|the door
20|the window
21|the cat
22|the dog
23|to eat
24|to drink
25|to sleep
26|to work
27|to learn
28|to speak
29|to read
30|to write
31|beautiful
32|big
33|small
34|warm / hot
35|cold
36|good
37|bad
38|today
39|tomorrow
40|yesterday
41|the week
42|the year
43|the time
44|friend (male)
45|friend (female) / girlfriend
46|family
47|name
48|to live
49|to come
50|to go

# 以下为生成单词翻译 (Generated Words Translations)
51|to walk
52|to run
53|to jump
54|to fall
55|to sit
56|to stand
57|to lie
58|to look
59|to see
60|to hear
61|pen
62|paper
63|key
64|wallet
65|phone
66|computer
67|TV
68|radio
69|pillow
70|blanket
71|juice
72|soda
73|wine
74|beer
75|tea
76|coffee
77|cookie
78|cake
79|ice cream
80|chips
81|father
82|mother
83|brother
84|sister
85|grandfather
86|grandmother
87|uncle
88|aunt
89|nephew
90|niece
91|one
92|two
93|three
94|four
95|five
96|six
97|seven
98|eight
99|nine
100|ten
101|red
102|blue
103|green
104|yellow
105|black
106|white
107|brown
108|gray
109|purple
110|orange
111|Amsterdam
112|Rotterdam
113|The Hague
114|Utrecht
115|Eindhoven
116|Groningen
117|Maastricht
118|Nijmegen
119|Tilburg
120|Breda
121|doctor
122|teacher
123|engineer
124|cook
125|police
126|firefighter
127|baker
128|farmer
129|musician
130|artist
131|horse
132|cow
133|sheep
134|pig
135|chicken
136|duck
137|rabbit
138|mouse
139|bird
140|fish
141|spring
142|summer
143|autumn
144|winter
145|sun
146|rain
147|snow
148|wind
149|cloud
150|rainbow
151|Monday
152|Tuesday
153|Wednesday
154|Thursday
155|Friday
156|Saturday
157|Sunday
158|January
159|February
160|March
161|April
162|May
163|June
164|July
165|August
166|September
167|October
168|November
169|December
170|Spring
171|Summer
172|Autumn
173|Winter
174|Day and night
175|Dawn
176|Dusk
177|Midnight
178|Morning
179|Noon
180|Afternoon
181|Evening
182|Night
183|Week
184|Month
185|Season
186|Holiday
187|Workday
188|Weekend
189|Hour
190|Minute
191|Second
192|Clock
193|Calendar
194|Schedule
195|Schedule
196|Plan
197|Goal
198|Task
199|Project
200|Work
201|Head
202|Face
203|Eyes
204|Ears
205|Nose
206|Mouth
207|Teeth
208|Tongue
209|Hair
210|Skin
211|Hand
212|Finger
213|Thumb
214|Arm
215|Shoulder
216|Leg
217|Foot
218|Toe
219|Knee
220|Back
221|Chest
222|Stomach
223|Heart
224|Lung
225|Liver
226|Kidney
227|Blood
228|Bone
229|Muscle
230|Nerve
231|Bed
232|Sofa
233|Chair
234|Table
235|Desk
236|Bookshelf
237|Wardrobe
238|Dresser
239|Mirror
240|Lamp
241|Table lamp
242|Floor lamp
243|Ceiling light
244|Wall light
245|Chandelier
246|TV stand
247|Coffee table
248|Footstool
249|Carpet
250|Curtain
251|Refrigerator
252|Oven
253|Microwave
254|Stove
255|Range hood
256|Dishwasher
257|Washing machine
258|Dryer
259|Vacuum cleaner
260|Air conditioner
261|Shirt
262|T-shirt
263|Sweater
264|Jacket
265|Coat
266|Pants
267|Jeans
268|Shorts
269|Skirt
270|Dress
271|Shoes
272|Sneakers
273|Boots
274|Sandals
275|Slippers
276|Socks
277|Underwear
278|Bra
279|Belt
280|Hat
281|Scarf
282|Gloves
283|Sunglasses
284|Umbrella
285|Bag
286|Wallet
287|Backpack
288|Handbag
289|Suitcase
290|Backpack
291|Car
292|Bus
293|Train
294|Subway
295|Tram
296|Bicycle
297|Motorcycle
298|Airplane
299|Boat
300|Taxi
301|Primary school
302|Middle school
303|High school
304|University
305|College
306|School
307|Classroom
308|Library
309|Laboratory
310|Playground
311|Gymnasium
312|Cafeteria
313|Office
314|Principal's office
315|Teacher's office
316|Toilet
317|Corridor
318|Stairs
319|Elevator
320|Parking lot
321|Bookstore
322|Supermarket
323|Convenience store
324|Pharmacy
325|Bakery
326|Butcher shop
327|Vegetable shop
328|Fruit shop
329|Fish shop
330|Flower shop
331|Clothing store
332|Shoe store
333|Jewelry store
334|Electronics store
335|Furniture store
336|Hardware store
337|Gas station
338|Post office
339|Bank
340|Hospital
341|Happy
342|Sad
343|Angry
344|Afraid
345|Surprised
346|Disgusted
347|Love
348|Hate
349|Hope
350|Disappointment
351|Excited
352|Bored
353|Nervous
354|Relaxed
355|Confident
356|Shy
357|Proud
358|Modest
359|Jealous
360|Grateful
361|Football
362|Basketball
363|Volleyball
364|Tennis
365|Badminton
366|Table tennis
367|Golf
368|Baseball
369|Rugby
370|Cricket
371|Swimming
372|Running
373|Jumping
374|Throwing
375|Catching
376|Kicking
377|Hitting
378|Defending
379|Attacking
380|Scoring
381|Park
382|Garden
383|Forest
384|Mountains
385|River
386|Lake
387|Ocean
388|Beach
389|Island
390|Desert
391|Village
392|Town
393|City
394|Capital
395|Country
396|Continent
397|Earth
398|Moon
399|Stars
400|Galaxy
401|Apple
402|Banana
403|Orange
404|Strawberry
405|Grape
406|Watermelon
407|Pineapple
408|Mango
409|Peach
410|Pear
411|Carrot
412|Potato
413|Onion
414|Tomato
415|Cucumber
416|Chili pepper
417|Spinach
418|Lettuce
419|Cabbage
420|Broccoli
421|Breakfast
422|Lunch
423|Dinner
424|Snack
425|Food
426|Drink
427|Menu
428|Recipe
429|Cooking
430|Baking
431|Painting
432|Sculpture
433|Photography
434|Film
435|Drama
436|Poetry
437|Literature
438|Poet
439|Writer
440|Artist
441|Sports
442|Game
443|Hobby
444|Travel
445|Tourism
446|Holiday
447|Camping
448|Picnic
449|Barbecue
450|Party
451|Birthday party
452|Wedding
453|Reception
454|Carnival
455|Christmas
456|Easter
457|St. Nicholas Day
458|King's Day
459|Free market
460|Amusement park
461|Amusement ride
462|Roller coaster
463|Ferris wheel
464|Haunted house
465|Zoo
466|Aquarium
467|Planetarium
468|Museum
469|Gallery
470|Exhibition
471|Technology
472|Internet
473|Website
474|App
475|Software
476|Hardware
477|Program
478|Operating system
479|Database
480|Server
481|Network
482|Wi-Fi
483|Bluetooth
484|USB
485|Cloud
486|Artificial intelligence
487|Robot
488|Drone
489|Virtual reality
490|Augmented reality
491|Bitcoin
492|Blockchain
493|Cryptocurrency
494|E-commerce
495|Online shopping
496|Social media
497|Facebook
498|Instagram
499|Twitter
500|YouTube
501|Netherlands
502|Dutch language
503|Dutch
504|Flemish
505|Belgium
506|Royal family
507|King
508|Queen
509|Prince
510|Princess
511|Flag
512|National anthem
513|Tulips
514|Clogs
515|Cheese
516|Gouda cheese
517|Edam cheese
518|Caramel waffle
519|Mini pancakes
